Latitude,Longitude,Type,Depth,Magnitude,Date,Time,Area,Year,Month,Day
38.297,142.373,Earthquake,29.0,9.1,2011-03-11,05:46:24,,2011,3,11
3.295,95.982,Earthquake,30.0,9.1,2004-12-26,00:58:53,,2004,12,26
-36.122,-72.898,Earthquake,22.9,8.8,2010-02-27,06:34:12,,2010,2,27
51.251,178.715,Earthquake,30.3,8.7,1965-02-04,05:01:22,,1965,2,4
2.327,93.063,Earthquake,20.0,8.6,2012-04-11,08:38:37,,2012,4,11
2.085,97.108,Earthquake,30.0,8.6,2005-03-28,16:09:37,,2005,3,28
-4.438,101.367,Earthquake,34.0,8.4,2007-09-12,11:10:27,,2007,9,12
-16.265,-73.641,Earthquake,33.0,8.4,2001-06-23,20:33:14,,2001,6,23
-31.5729,-71.6744,Earthquake,22.44,8.3,2015-09-16,22:54:33,,2015,9,16
54.892,153.221,Earthquake,598.1,8.3,2013-05-24,05:44:49,,2013,5,24
46.592,153.266,Earthquake,10.0,8.3,2006-11-15,11:14:14,,2006,11,15
41.815,143.91,Earthquake,27.0,8.3,2003-09-25,19:50:06,,2003,9,25
43.773,147.321,Earthquake,14.0,8.3,1994-10-04,13:22:56,,1994,10,4
-19.6097,-70.7691,Earthquake,25.0,8.2,2014-04-01,23:46:47,,2014,4,1
0.802,92.463,Earthquake,25.1,8.2,2012-04-11,10:43:11,,2012,4,11
-0.891,136.952,Earthquake,33.0,8.2,1996-02-17,05:59:31,,1996,2,17
-13.841,-67.553,Earthquake,631.3,8.2,1994-06-09,00:33:16,,1994,6,9
-52.341,160.568,Earthquake,10.0,8.2,1989-05-23,10:54:46,,1989,5,23
40.86,143.435,Earthquake,29.9,8.2,1968-05-16,00:49:02,,1968,5,16
-2.608,125.952,Earthquake,20.0,8.2,1965-01-24,00:11:17,,1965,1,24
-15.489,-172.095,Earthquake,18.0,8.1,2009-09-29,17:48:11,,2009,9,29
-8.466,157.043,Earthquake,24.0,8.1,2007-04-01,20:39:59,,2007,4,1
46.243,154.524,Earthquake,10.0,8.1,2007-01-13,04:23:21,,2007,1,13
-49.312,161.345,Earthquake,10.0,8.1,2004-12-23,14:59:04,,2004,12,23
-62.877,149.527,Earthquake,10.0,8.1,1998-03-25,03:12:25,,1998,3,25
-4.817,153.172,Earthquake,40.0,8.1,1971-07-26,01:23:22,,1971,7,26
-10.665,-78.228,Earthquake,40.0,8.1,1966-10-17,21:42:00,,1966,10,17
-10.799,165.114,Earthquake,24.0,8.0,2013-02-06,01:12:26,,2013,2,6
-13.386,-76.603,Earthquake,39.0,8.0,2007-08-15,23:40:58,,2007,8,15
-20.187,-174.123,Earthquake,55.0,8.0,2006-05-03,15:26:40,,2006,5,3
-3.98,152.169,Earthquake,33.0,8.0,2000-11-16,04:54:57,,2000,11,16
19.055,-104.205,Earthquake,33.0,8.0,1995-10-09,15:35:54,,1995,10,9
-23.34,-70.294,Earthquake,45.6,8.0,1995-07-30,05:11:24,,1995,7,30
51.52,-174.776,Earthquake,33.0,8.0,1986-05-07,22:47:11,,1986,5,7
18.19,-102.533,Earthquake,27.9,8.0,1985-09-19,13:17:47,,1985,9,19
-33.135,-71.871,Earthquake,33.0,8.0,1985-03-03,22:47:07,,1985,3,3
-28.427,-177.657,Earthquake,33.0,8.0,1976-01-14,16:47:34,,1976,1,14
6.405,126.64,Earthquake,60.0,8.0,1972-12-02,00:19:52,,1972,12,2
-5.524,153.85,Earthquake,40.0,8.0,1971-07-14,06:11:30,,1971,7,14
-1.597,-72.532,Earthquake,644.8,8.0,1970-07-31,17:08:05,,1970,7,31
-4.5049,153.5216,Earthquake,94.54,7.9,2016-12-17,10:51:10,,2016,12,17
51.8486,178.7352,Earthquake,109.0,7.9,2014-06-23,20:53:10,,2014,6,23
